School Name,Primary School,Physical Address,Postal Address,Email,Phone,Website,Management Name,Management Position,Management Email,Management Phone
Ampilatwatja School,True,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",admin.ampilat@education.nt.gov.au,(08) 8956 9265,n/a,Ann Adams,Principal,ann.adams@education.nt.gov.au,(08) 8956 9265
Baniyala Garrangali School,True,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",jane.munro@education.nt.gov.au,(08) 8987 9114,n/a,Jane Munro,Principal,jane.munro@education.nt.gov.au,(08) 8987 9114
Arlparra School,True,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT",john.matthews@education.nt.gov.au,(08) 8956 9178,n/a,John Matthews,Principal,john.matthews@education.nt.gov.au,(08) 8956 9178
Amoonguna School,True,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@education.nt.gov.au,(08) 8952 3402,n/a,Cherie Gibbens,Principal,cherie.gibbens@education.nt.gov.au,(08) 8952 3402
Zuccoli Primary School,True,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net,(08) 792 30222,tba,Stacey Sephton,Business Manager,stacey.sephton@education.nt.gov.au,(08) 792 30222
Yuendumu Pre School,False,"Conniston Road, Yuendumu, NT",", , , ",,(08) 8956 4011,,Stacey Sephton,Business Manager,stacey.sephton@education.nt.gov.au,(08) 792 30222
Yirrkala School,True,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988,n/a,Morganne Webb,Business Manager,morganne.webb@education.nt.gov.au,(08) 898 71988
Yirrkala Pre School,False,"Rankine Road, Yirrkala, NT",", , , ",,(08) 898 71988,,Morganne Webb,Business Manager,morganne.webb@education.nt.gov.au,(08) 898 71988
Amanbidji School,True,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",Carolyn.tucker@education.nt.gov.au,(08) 9168 7380,n/a,Sally Watts,Business Manager,sally.watts@education.ntschools.net,(08) 897 25347
Yirara College,False,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644,http://www.yirara.nt.edu.au/,Wesley Meurant,Principal,Principal@yirara.nt.edu.au,(08) 8950 5633
Yulara School,True,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au,(08) 8956 2014,https://yularaschool.nt.edu.au/,Megan Stockley-smith,Principal,megan.stockley-smith@education.nt.gov.au,(08) 8956 2014
Yuendumu School,True,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",admin.yuendumu@education.nt.gov.au,(08) 8956 4011,http://www.yuendumuschool.nt.edu.au,Stephen Go,Business Manager,Stephen.go@education.nt.gov.au,(08) 8951 1620
Yipirinya School,True,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",yipirinya@yipirinya.com.au,(08) 8952 5633,http://www.yipirinya.com.au/,Gavin Morris,Principal,principal.yipirinya@ntschools.net,8952 5633
Wurankuwu Homeland Learning Centre,True,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",tba,(08) 8978 3986,not available,Gavin Morris,Principal,principal.yipirinya@ntschools.net,8952 5633
Xavier CEC,False,"Kerinauia Hwy, Nguiu, NT","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au,(08) 8978 3970,http://www.xcecnt.catholic.edu.au/,Rhett Bowden,Principal,rhett.bowden@nt.catholic.edu.au,08 89783970
Yarralin School,True,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",zoe.richardson@education.nt.gov.au,(08) 8975 0809,n/a,Zoe Richardson,Principal,zoe.richardson@education.nt.gov.au,(08) 8975 0809
Wulagi Primary School,True,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au,(08) 898 37800,http://www.wulagiprimary.nt.edu.au/,Ramon Dixon,Principal,ramon.dixon@education.nt.gov.au,(08) 898 37800
Wulagi Pre School,False,"24 Brolga St, Wulagi, NT",", , , ",,(08) 898 37818,,Ramon Dixon,Principal,ramon.dixon@education.nt.gov.au,(08) 898 37800
Woolaning School,True,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au,(08) 8978 2334,n/a,Nick Hancock,Principal,nicholas.hancock1@education.nt.gov.au,(08) 8978 2334
Woolianna School,True,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au,(08) 8978 2984,http://www.wooliannaschool.nt.edu.au/,Sarah Rowe,Principal,sarah.rowe@education.nt.gov.au,(08) 8978 2984
Wugularr School,True,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au,(08) 8975 4529,n/a,Katrin Woolgar,Business Manager,katrin.woolgar@education.nt.gov.au,(08) 897 25351
Woodroffe Pre School,False,"55 Woodroffe Ave, Woodroffe, NT",", , , ",,(08) 8983 7611,,Katrin Woolgar,Business Manager,katrin.woolgar@education.nt.gov.au,(08) 897 25351
Willowra School,True,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au,(08) 8956 8408,n/a,Barb Wilson,Principal,barb.wilson@education.nt.gov.au,(08) 8956 8408
Woodroffe Primary School,True,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au,(08) 898 37600,https://woodroffeps.nt.edu.au/ ,Kristy West,Principal,kristy.west@education.nt.gov.au,(08) 898 37600
Watiyawanu School,True,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",l.kenny@education.nt.gov.au,(08) 8956 8555,n/a,Larry Kenny,Principal,l.kenny@education.nt.gov.au,(08) 8956 8555
Watarrka School,True,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",tba,(08) 8956 7758,n/a,tba tba,Principal,tba,(08) 8956 7758
Wanguri Primary School,True,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au,(08) 8927 1655,http://wanguriprimary.nt.edu.au,Robyn Nowland,Business Manager,robyn.nowland@education.nt.gov.au,(08) 8927 1655
Warruwi School,True,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",samuel.robinson@education.nt.gov.au,(08) 8979 0222,n/a,Samuel Robinson,Principal,samuel.robinson@education.nt.gov.au,(08) 8979 0222
Wanguri Pre School,False,"46 Gsell St, Wanguri, NT",", , , ",,(08) 8927 1655,,Samuel Robinson,Principal,samuel.robinson@education.nt.gov.au,(08) 8979 0222
Wallace Rockhole School,True,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au,(08) 8956 7330,n/a,Maryse Turenne,Principal,m.turenne@education.nt.gov.au,(08) 8956 7330
Walungurru School,True,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au,(08)  8964 6056,n/a,Tanith Margetson,Principal,tanith.margetson@education.nt.gov.au,(08) 8964 6056
Wagaman Primary School,True,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au,(08) 8922 6011,http://www.wagamanprimary.nt.edu.au,Darnette Navidad,Business Manager,Darnette.Navidad@education.nt.gov.au,(08) 8922 6011
Wagaman Pre School,False,"35 Wagaman Tce, Wagaman, NT",", , , ",,(08) 8922 6011,,Darnette Navidad,Business Manager,Darnette.Navidad@education.nt.gov.au,(08) 8922 6011
Urapunga School,True,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",craig.watkins@education.nt.gov.au,(08) 8975 4645,n/a,Craig Watkins,Principal,craig.watkins@education.nt.gov.au,(08) 8975 4645
Top End School of Flexible Learning,False,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au,(08) 899 77199,n/a,Matt Watson,Principal,matt.watson@education.nt.gov.au,(08) 898 37924
Tiwi College,False,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",tiwi.college@ntschools.net,08 89709024,http://www.tiwicollege.com/,Greg Hollis,Principal,greg.hollis@ntschools.net,08 89709024
Tivendale School,False,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",samuel.woods@education.nt.gov.au,(08) 899 95910,n/a,Greg Hollis,Principal,greg.hollis@ntschools.net,08 89709024
Tipperary Station School,True,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",carla.clough@education.nt.gov.au,(08) 8978 2765,n/a,Christie Kent,Business Manager,Christie.kent@education.nt.gov.au,(08) 890 14913
Tennant Creek Primary School,True,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au,(08) 896 32424,n/a,Katrina Georgiou,Principal,katrina.georgiou@education.nt.gov.au,(08) 896 32424
Timber Creek School,True,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au,(08) 8975 0714,n/a,Merryn Curley,Principal,merryn.curley@education.nt.gov.au,(08) 8975 0714
Titjikala School,True,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",jenny.jenkinson@education.nt.gov.au,(08) 8956 0927,n/a,Jenny Jenkinson,Principal,jenny.jenkinson@education.nt.gov.au,(08) 8956 0927
Ti Tree School,True,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",anthony.smith@education.nt.gov.au,(08) 8956 9743,n/a,Anthony Smith,Principal,anthony.smith@education.nt.gov.au,(08) 8956 9743
Tennant Creek High School,False,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au,(08) 8962 2102,n/a,Gavin Khan,Principal,gavin.khan@education.nt.gov.au,8962 2102
Taminmin College,False,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au,(08) 898 37000,http://www.taminmin.nt.edu.au/,Mary Rose Henry,Business Manager,maryrose.henry@education.nt.gov.au,(08) 898 37000
Tennant Creek Pre School,False,"31 Paterson St, Tennant Creek, NT",", , , ",,(08) 8962 2110,,Mary Rose Henry,Business Manager,maryrose.henry@education.nt.gov.au,(08) 898 37000
Stuart Park Primary School,True,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au,(08) 899 77333,http://www.stuartparkprimary.nt.edu.au,Wendy Woods,Business Manager,wendy.woods@education.nt.gov.au,(08) 899 77333
Stuart Park Pre School,False,"8 Nudl St, Stuart Park, NT",", , , ",,(08) 899 77322,,Wendy Woods,Business Manager,wendy.woods@education.nt.gov.au,(08) 899 77333
Stirling School,True,"N/A, Wilora (Stirling Station) 0872, NT","c/- Ti Tree Post Office, Ti Tree, 0872, NT",tba,(08) 8956 9759,n/a,Myles Ryan,Principal,myles.ryan@education.nt.gov.au,(08) 8956 9759
St Philip's College,False,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511,http://www.stphilips.nt.edu.au/,Leslie Tilbrook,Principal,leslie.tilbrook@stphilips.nt.edu.au,8950 4511
St Pauls Catholic School,True,"41 Francis St, Rapid Creek, NT","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au,(08) 8985 1937,http://www.stpaulsnt.catholic.edu.au/,Jo Knight,Principal,jo.knight@nt.catholic.edu.au,08 89851937
St Joseph's Catholic College,True,"Maluka Rd, Katherine East, NT","PO Box 535, Katherine, 0850, NT",admin.stjosephs@nt.catholic.edu.au,(08) 89723555,http://www.sjcckatherine.nt.edu.au,Sunniva Antonucci,Principal,sunniva.antonucci@nt.catholic.edu.au,(08) 8972 3555
St Mary's Catholic School,True,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796,http://www.stmarysnt.catholic.edu.au/,Rosie Harrison,Principal,rosie.harrison@nt.catholic.edu.au,(08) 8981 9796
St Joseph's Flexible Learning Centre,False,"Youth Hub, 3 Wills Terrace, , Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",sjcflc@ereafsn.edu.au,0408 568 357,http://www.youthplus.edu.au/schools-services-details/youth-schools-network/flexible-learning-centre-alice-springs/alice-springs-flexible-learning-centre.html,Paula Bacchiella,Principal,paula.bacchiella@nt.catholic.edu.au,0408 568 357
St Johns Catholic College,False,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au,(08) 8982 2222,http://www.stjohnsnt.catholic.edu.au/,Cameron Hughes,Principal,cameron.hughes@nt.catholic.edu.au,08 8982 2222
Shepherdson College,True,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au,(08) 8987 9044,n/a,Joe Hewett,Principal,joe.hewett@education.nt.gov.au,(08) 8987 9044
St Francis of Assisi Catholic Primary School,True,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",admin.sfas@nt.catholic.edu.au,(08) 8988 1212,n/a,Christopher McAloon,Principal,christopher.mcalaoon@nt.catholic.edu.au,08 89881212
Shepherdson Pre School,False,"Wakirana St, Galiwinku, NT",", , , ",,(08) 8987 9044,,Christopher McAloon,Principal,christopher.mcalaoon@nt.catholic.edu.au,08 89881212
St Francis Xavier School,True,"n/a, Nauiyu, NT","PMB 28, Daly River, 0822, NT",dr.adminbox@nt.catholic.edu.au,(08) 8978 2427,www.sfxnt.catholic.edu.au,Veronica Toohey,Principal,veronica.toohey@nt.catholic.edu.au,08 89782427
SEDA College NT,False,"5/90 Ross Smith Ave, Fannie Bay, 0820, NT","5/90 Ross Smith Ave, Fannie Bay, 0820, NT",info@sedacollege.nt.edu.au,1300 337 332,https://seda.nt.edu.au/,Francis Gill,Principal,info@sedacollege.nt.edu.au,1300 337 332
Sattler Christian College,True,"15 Sattler Cres, Freds Pass, NT","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net,7922 1500,not available,Mike Tooler,Principal,michael.tooler@ntschools.net,(08) 7922 1500
School of Sport Education NT,True,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",admin.ssnt@education.nt.gov.au,(08) 899 95700,https://sporteducation.nt.edu.au,Joanne Heydon,Business Manager,joanne.heydon@education.nt.gov.au,(08) 899 95739
Royal Darwin Hospital School,False,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@education.nt.gov.au,(08) 8922 8736,n/a,Tania Nicholls,Principal,tania.nicholls@education.nt.gov.au,(08) 8922 8736
Sanderson Middle School,False,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@education.nt.gov.au,(08) 8927 8899,https://www.sandersonmiddle.nt.edu.au/,Robert McIntosh,Principal,robert.mcintosh@education.nt.gov.au,(08) 792 30500
Sacred Heart Primary School,True,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au,(08) 8924 8700,http://www.shpsnt.catholic.edu.au/,Stephen Versteegh,Principal,Stephen.Versteegh@nt.catholic.edu.au,08 8924 8700
Sadadeen Primary School,True,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au,(08) 895 52299,https://www.sadadeenprimary.nt.edu.au/,Donna Wright,Principal,donna.wright@education.nt.gov.au,(08) 895 52299
Ross Park Primary School,True,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000,http://www.rossparkprimary.nt.edu.au,Penny Weily,Principal,penny.weily@education.nt.gov.au,(08) 895 52000
Rockhampton Downs School,True,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",marilyn.sonnenburg@education.nt.gov.au,(08) 8964 4675,n/a,Marilyn Sonnenburg,Principal,marilyn.sonnenburg@education.nt.gov.au,(08) 8964 4675
Rosebery Primary School,True,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au,(08) 792 30100,http://roseberyprimary.nt.edu.au/,Tania Kolomitsev,Principal,tania.kolomitsev@education.nt.gov.au,(08) 792 30100
Rona Glynn Pre School,False,"2 Mckay St, Alice Springs, NT",", , , ",,(08) 895 21792,,Tania Kolomitsev,Principal,tania.kolomitsev@education.nt.gov.au,(08) 792 30100
Pine Creek School,True,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",janet.purje@education.nt.gov.au,(08) 8976 1228,,Yvette Willams,Business Manager,yvette.williams@education.nt.gov.au,(08) 8978 2455
Ramingining Pre School,False,"N/A, Ramingining, NT",", , , ",,(08) 8979 7924,,Yvette Willams,Business Manager,yvette.williams@education.nt.gov.au,(08) 8978 2455
Pularumpi School,True,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",roseanna.brunker@education.nt.gov.au,(08) 8978 3961,n/a,Bev McGregor,Business Manager,bev.mcgregor@education.nt.gov.au,(08) 894 49281
Robinson River School,True,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",chris.errington@education.nt.gov.au,(08) 8975 9956,,Keely Wallace,Business Manager,keely.wallace1@education.nt.gov.au,(08) 897 25395
Ramingining School,True,"133Lewangu Drive, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0822, NT",deanne.kathagen@education.nt.gov.au,(08) 8979 7924,n/a,Deanne Kathagen,Principal,deanne.kathagen@education.nt.gov.au,(08) 8979 7924
Peppimenarti School,True,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",eric.barrows@education.nt.gov.au,(08) 8978 2455,n/a,Christie Kent,Business Manager,Christie.kent@education.nt.gov.au,(08) 890 14913
Pigeon Hole School,True,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",anne.pollock@education.nt.gov.au,(08) 8975 0812,n/a,Anne Pollock,Principal,anne.pollock@education.nt.gov.au,(08) 8975 0812
Parap Primary School,True,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au,(08) 898 22922,http://www.parapprimary.nt.edu.au,Bianca Hyke,Principal,bianca.hyke@education.nt.gov.au,(08) 898 22922
Owen Springs Education Centre,False,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",joel.hohn@education.nt.gov.au,(08) 8958 5088 / (08) 8958 5089,n/a,Joel Hohn,Principal,joel.hohn@education.nt.gov.au,8958 5088 / 9858 5089
Palmerston Christian School,True,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",admin.pcs@ntschools.net,(08) 7922 5600,http://www.pcs.nt.edu.au,Luke Willsmore,Principal,luke.willsmore@ntschools.net,(08) 7922 5600
Papunya School,True,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",christine.munro@education.nt.gov.au,(08) 8956 8515,n/a,Christine Munro,Principal,christine.munro@education.nt.gov.au,(08) 8956 8515
Palmerston College,False,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au,(08) 899 77999,http://www.palmerstoncollege.nt.edu.au,Sevil Aldas,Principal,sevil.aldas@education.nt.gov.au,(08) 899 77999
Parap Pre School,False,"61 Ross Smith Ave, Parap, NT",", , , ",,(08) 8981 5146,,Sevil Aldas,Principal,sevil.aldas@education.nt.gov.au,(08) 899 77999
OLSH Primary School,True,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,http://www.olshalice.nt.edu.au/,Paul Melloy,Principal,admin.olshalice@nt.catholic.edu.au,08 8950 6400
OLSH Thamarrurr Catholic College,True,"n/a, Wadeye (Port Keats), NT","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477,www.olshnt.catholic.edu.au,Jacqueline Conboy,Principal,jacqueline.conboy@nt.catholic.edu.au,(08) 8978 2477
OLSH College - Traeger Campus,True,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,http://www.olshalice.catholic.edu.au/,Paul Melloy,Principal,admin.olshalice@nt.catholic.edu.au,08 8950 6400
Nyangatjatjara College - Imanpa Campus,False,"not available, not available, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7038,not available,Paul Melloy,Principal,admin.olshalice@nt.catholic.edu.au,08 8950 6400
Nyirripi School,True,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",ken.millar@education.nt.gov.au,(08) 8956 8880,n/a,Ken Millar,Principal,ken.millar@education.nt.gov.au,(08) 8956 8880
Nyangatjatjara College - Mutitjulu Campus,False,"n/a, Yulara, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.or.au,(08) 8956 2555,m/a,Ken Millar,Principal,ken.millar@education.nt.gov.au,(08) 8956 8880
OLSH College - Sadadeen Campus,False,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,http://www.olshalice.catholic.edu.au/,Paul Melloy,Principal,paul.melloy@nt.catholic.edu.au,08 8950 6400
O'Loughlin Catholic College,False,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277,http://www.oloughlin.nt.edu.au,Megan Evans,Principal,megan.evans@nt.catholic.edu.au,(08) 8945 1277
Numbulwar Pre School,False,"N/A, Numbulwar, NT",", , , ",,(08) 8975 4650,,Megan Evans,Principal,megan.evans@nt.catholic.edu.au,(08) 8945 1277
Numbulwar School,True,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",stephanie.valcanis@education.nt.gov.au,(08) 8975 4650,n/a,Benjamin Kinder,Principal,benjamin.kinder@education.nt.gov.au,(08) 8975 4650
Nyangatjatjara College - Docker Rvr Campus,False,"N/A, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7098,not available,Mike Tucker,Principal,m.tucker@nyangatjatjaracollege.org.au,8956 7098
Ntaria School,True,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",emma.langton@education.nt.gov.au,(08) 8956 7424,n/a,Emma Langton,Principal,emma.langton@education.nt.gov.au,(08) 8956 7424
Nightcliff Pre School,False,"17 Pandanus St, Nightcliff, NT",", , , ",,(08) 8948 8488,,Emma Langton,Principal,emma.langton@education.nt.gov.au,(08) 8956 7424
NT Music School,True,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au,(08) 896 35550,http://www.ntms.net.au,Bill Grose,Principal,bill.grose@education.nt.gov.au,(08) 896 35551
NT School of Distance Education,False,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au,(08) 892 22222,http://www.ntsde.nt.edu.au,Anne White,Principal,Anne.white@education.nt.gov.au,(08) 892 22292
Nightcliff Primary School,True,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au,(08) 8948 8488,http://www.nightcliffprimary.nt.edu.au,Lisa Whistler,Business Manager,lisa.whistler@education.nt.gov.au,(08) 8948 8488
Nightcliff Middle School,False,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au,(08) 898 37677,http://www.nightcliffmiddle.nt.edu.au,Lyn Waugh,Business Manager,lyn.waugh1@education.nt.gov.au,(08) 898 37677
